Industry,Sector_old,Pct_Week_old,Sector_new,Pct_Week_new,Pct_Week_Diff
Life Insurance,Financials,0.75,Financials,-2.76,-3.51
Nonlife Insurance,Financials,0.36,Financials,-3.17,-3.53
Insurance,Financials,0.43,Financials,-3.1,-3.5300000000000002
Recreational Products,Consumer Goods,9.83,Consumer Goods,6.23,-3.5999999999999996
General Retailers,Consumer Services,6.52,Consumer Goods,2.91,-3.6099999999999994
Automobiles,Consumer Goods,1.79,Consumer Goods,-1.94,-3.73
Automobiles & Parts,Consumer Goods,1.97,Consumer Goods,-1.95,-3.92
Clothing & Accessories,Consumer Goods,1.78,Consumer Goods,-2.17,-3.95
Insurance Brokers,Financials,2.3,Financials,-1.69,-3.9899999999999998
Health Care Providers,Health Care,2.17,Health Care,-1.86,-4.03
Internet,Technology,2.9,Technology,-1.19,-4.09
Media,Consumer Services,1.12,Consumer Services,-2.97,-4.09
Hotels,Consumer Services,3.81,Consumer Services,-0.3,-4.11
Commodity Chemicals,Basic Materials,4.46,Basic Materials,0.02,-4.44
Computer Services,Technology,4.48,Technology,-0.02,-4.5
Broadcast & Entertainment,Consumer Services,1.35,Consumer Services,-3.24,-4.59
Industrial Suppliers,Industrials,7.61,Industrials,2.9,-4.710000000000001
Nonferrous Metals,Basic Materials,8.86,Basic Materials,3.86,-5.0
Containers & Packaging,Industrials,4.45,Industrials,-0.57,-5.0200000000000005
Health Care Equip & Svcs,Health Care,2.64,Health Care,-2.45,-5.09
Mobile Telecom,Telecommunications,0.08,Telecommunications,-5.01,-5.09
Footwear,Consumer Goods,2.78,Consumer Goods,-2.48,-5.26
Furnishings,Consumer Goods,6.32,Consumer Goods,1.01,-5.3100000000000005
Banks,Financials,1.37,Financials,-3.97,-5.34
Travel & Leisure,Consumer Services,2.98,Consumer Services,-2.4,-5.38
Business Training,Industrials,1.86,Industrials,-3.63,-5.49
Software & Computer Svcs,Technology,2.37,Technology,-3.31,-5.68
Support Services,Industrials,5.53,Industrials,-0.31,-5.84
Business Support Svcs,Industrials,6.71,Industrials,0.72,-5.99
Home Improvement Retailers,Consumer Services,8.31,Consumer Services,2.31,-6.0
Oil Equipment & Svcs,Oil & Gas,9.06,Oil & Gas,3.03,-6.030000000000001
Retail,Consumer Services,6.15,Consumer Services,-0.25,-6.4
Medical Equipment,Health Care,3.18,Health Care,-3.42,-6.6
Delivery Svcs,Industrials,6.22,Industrials,-0.38,-6.6
Consumer Finance,Financials,1.3,Financials,-5.46,-6.76
General Retailers,Consumer Services,6.52,Consumer Services,-0.57,-7.09
Software,Technology,1.83,Technology,-5.26,-7.09
Travel & Tourism,Consumer Services,3.28,Consumer Services,-3.98,-7.26
Trucking,Industrials,7.43,Industrials,0.14,-7.29
Airlines,Consumer Services,4.75,Consumer Services,-2.57,-7.32
Auto Parts,Consumer Goods,5.74,Consumer Goods,-2.1,-7.84
Financial Administration,Industrials,4.66,Industrials,-3.37,-8.030000000000001
Broadline Retailers,Consumer Services,7.58,Consumer Services,-1.02,-8.6
Home Construction,Consumer Goods,8.96,Consumer Goods,-0.03,-8.99
Mortgage Finance,Financials,8.98,Financials,-2.67,-11.65
Marine Transportation,Industrials,12.13,Industrials,0.33,-11.8
Recreational Services,Consumer Services,6.06,Consumer Services,-9.21,-15.27
Aluminum,Basic Materials,12.61,Basic Materials,-5.65,-18.259999999999998
